"table_name","column_name","data_type","is_nullable","column_default","character_maximum_length"
"accounts","id","integer","NO","nextval('accounts_id_seq'::regclass)",NULL
"accounts","user_id","integer","NO",NULL,NULL
"accounts","type","character varying","YES",NULL,10
"accounts","balance","numeric","YES","0",NULL
"accounts","frozen","numeric","YES","0",NULL
"accounts","cap","numeric","YES",NULL,NULL
"accounts","is_active","boolean","YES","true",NULL
"accounts","deposit","numeric","YES","0",NULL
"accounts","withdrawal","numeric","YES","0",NULL
"admin_notifications","id","integer","NO","nextval('admin_notifications_id_seq'::regclass)",NULL
"admin_notifications","user_id","integer","YES",NULL,NULL
"admin_notifications","type","character varying","NO",NULL,50
"admin_notifications","message","text","NO",NULL,NULL
"admin_notifications","is_read","boolean","YES","false",NULL
"admin_notifications","created_at","timestamp with time zone","YES","now()",NULL
"commission_logs","id","integer","NO","nextval('commission_logs_id_seq'::regclass)",NULL
"commission_logs","user_id","integer","NO",NULL,NULL
"commission_logs","source_user_id","integer","YES",NULL,NULL
"commission_logs","source_action_id","integer","YES",NULL,NULL
"commission_logs","account_type","character varying","YES",NULL,10
"commission_logs","commission_amount","numeric","NO",NULL,NULL
"commission_logs","commission_type","character varying","NO",NULL,20
"commission_logs","description","text","YES",NULL,NULL
"commission_logs","created_at","timestamp without time zone","YES","now()",NULL
"commission_logs","reference_id","character varying","YES",NULL,255
"commission_logs","drive_session_id","integer","YES",NULL,NULL
"deposits","id","integer","NO","nextval('deposits_id_seq'::regclass)",NULL
"deposits","user_id","integer","NO",NULL,NULL
"deposits","amount","numeric","NO",NULL,NULL
"deposits","status","character varying","NO","'PENDING'::character varying",20
"deposits","txn_hash","character varying","YES",NULL,100
"deposits","description","text","YES",NULL,NULL
"deposits","created_at","timestamp with time zone","YES","now()",NULL
"deposits","updated_at","timestamp with time zone","YES","now()",NULL
"drive_configurations","id","integer","NO","nextval('drive_configurations_id_seq'::regclass)",NULL
"drive_configurations","name","character varying","NO",NULL,255
"drive_configurations","description","text","YES",NULL,NULL
"drive_configurations","is_active","boolean","YES","true",NULL
"drive_configurations","created_by_admin_id","integer","YES",NULL,NULL
"drive_configurations","created_at","timestamp with time zone","YES","now()",NULL
"drive_configurations","updated_at","timestamp with time zone","YES","now()",NULL
"drive_configurations","tasks_required","integer","NO",NULL,NULL
"drive_orders","id","integer","NO","nextval('drive_orders_id_seq1'::regclass)",NULL
"drive_orders","session_id","integer","NO",NULL,NULL
"drive_orders","task_set_product_id","integer","NO",NULL,NULL
"drive_orders","status","character varying","NO","'pending'::character varying",50
"drive_orders","created_at","timestamp with time zone","YES","now()",NULL
"drive_orders","completed_at","timestamp with time zone","YES",NULL,NULL
"drive_sessions","id","integer","NO","nextval('drive_sessions_id_seq'::regclass)",NULL
"drive_sessions","user_id","integer","NO",NULL,NULL
"drive_sessions","product_combo_id","integer","YES",NULL,NULL
"drive_sessions","start_time","timestamp without time zone","YES","CURRENT_TIMESTAMP",NULL
"drive_sessions","end_time","timestamp without time zone","YES",NULL,NULL
"drive_sessions","status","character varying","YES","'active'::character varying",20
"drive_sessions","created_at","timestamp without time zone","YES","CURRENT_TIMESTAMP",NULL
"drive_sessions","drive_type","character varying","YES","'first'::character varying",50
"drive_sessions","tasks_completed","integer","YES","0",NULL
"drive_sessions","tasks_required","integer","YES",NULL,NULL
"drive_sessions","started_at","timestamp with time zone","YES","now()",NULL
"drive_sessions","completed_at","timestamp with time zone","YES",NULL,NULL
"drive_sessions","session_uuid","uuid","YES",NULL,NULL
"drive_sessions","frozen_amount_needed","numeric","YES",NULL,NULL
"drive_sessions","last_product_id","integer","YES",NULL,NULL
"drive_sessions","last_combo_id","character varying","YES",NULL,100
"drive_sessions","combo_progress","jsonb","YES",NULL,NULL
"drive_sessions","starting_balance","numeric","YES",NULL,NULL
"drive_sessions","commission_earned","numeric","YES","0",NULL
"drive_sessions","drive_tasks","jsonb","YES",NULL,NULL
"drive_sessions","drive_configuration_id","integer","YES",NULL,NULL
"drive_sessions","current_task_set_id","integer","YES",NULL,NULL
"drive_sessions","current_task_set_product_id","integer","YES",NULL,NULL
"drive_sessions","current_user_active_drive_item_id","integer","YES",NULL,NULL
"drive_task_set_products","id","integer","NO","nextval('drive_task_set_products_id_seq'::regclass)",NULL
"drive_task_set_products","task_set_id","integer","NO",NULL,NULL
"drive_task_set_products","product_id","integer","NO",NULL,NULL
"drive_task_set_products","order_in_set","integer","NO",NULL,NULL
"drive_task_set_products","created_at","timestamp with time zone","YES","now()",NULL
"drive_task_sets","id","integer","NO","nextval('drive_task_sets_id_seq'::regclass)",NULL
"drive_task_sets","drive_configuration_id","integer","NO",NULL,NULL
"drive_task_sets","order_in_drive","integer","NO",NULL,NULL
"drive_task_sets","name","character varying","YES",NULL,255
"drive_task_sets","is_combo","boolean","NO","false",NULL
"drive_task_sets","created_at","timestamp with time zone","YES","now()",NULL
"drive_task_sets","updated_at","timestamp with time zone","YES",NULL,NULL
"drives","id","integer","NO","nextval('drives_id_seq'::regclass)",NULL
"drives","user_id","integer","NO",NULL,NULL
"drives","product_id","integer","NO",NULL,NULL
"drives","commission","numeric","NO",NULL,NULL
"drives","status","character varying","NO","'ACTIVE'::character varying",20
"drives","created_at","timestamp with time zone","YES","now()",NULL
"drives","completed_at","timestamp with time zone","YES",NULL,NULL
"notifications","id","integer","NO","nextval('notifications_id_seq'::regclass)",NULL
"notifications","user_id","integer","YES",NULL,NULL
"notifications","message","text","NO",NULL,NULL
"notifications","created_at","timestamp with time zone","YES","now()",NULL
"notifications","is_read","boolean","YES","false",NULL
"old_drive_configuration_items","id","integer","NO","nextval('drive_configuration_items_id_seq'::regclass)",NULL
"old_drive_configuration_items","drive_configuration_id","integer","NO",NULL,NULL
"old_drive_configuration_items","product_id","integer","NO",NULL,NULL
"old_drive_configuration_items","order_in_drive","integer","NO",NULL,NULL
"old_drive_configuration_items","created_at","timestamp with time zone","YES","now()",NULL
"old_drive_orders","id","integer","NO","nextval('drive_orders_id_seq'::regclass)",NULL
"old_drive_orders","session_id","integer","NO",NULL,NULL
"old_drive_orders","product_id","integer","NO",NULL,NULL
"old_drive_orders","status","character varying","NO","'pending'::character varying",50
"old_drive_orders","tasks_required","integer","NO",NULL,NULL
"old_drive_orders","order_in_drive","integer","YES",NULL,NULL
"product_combos","id","integer","NO","nextval('product_combos_id_seq'::regclass)",NULL
"product_combos","product_ids","ARRAY","NO",NULL,NULL
"product_combos","combo_price","numeric","NO",NULL,NULL
"product_combos","combo_commission_rate","numeric","NO",NULL,NULL
"product_combos","min_balance_required","numeric","YES","0",NULL
"product_combos","min_tier","character varying","YES","'bronze'::character varying",10
"product_combos","is_active","boolean","YES","true",NULL
"product_combos","created_at","timestamp without time zone","YES","now()",NULL
"products","id","integer","NO","nextval('products_id_seq'::regclass)",NULL
"products","name","character varying","NO",NULL,500
"products","price","numeric","NO",NULL,NULL
"products","created_at","timestamp without time zone","YES","now()",NULL
"products","description","text","YES",NULL,NULL
"products","image_url","character varying","YES",NULL,255
"products","is_active","boolean","YES","true",NULL
"support_messages","id","integer","NO","nextval('support_messages_id_seq'::regclass)",NULL
"support_messages","sender_id","integer","NO",NULL,NULL
"support_messages","sender_role","character varying","NO",NULL,10
"support_messages","recipient_id","integer","YES",NULL,NULL
"support_messages","subject","character varying","YES",NULL,255
"support_messages","message","text","NO",NULL,NULL
"support_messages","thread_id","integer","YES",NULL,NULL
"support_messages","is_read","boolean","YES","false",NULL
"support_messages","created_at","timestamp with time zone","YES","now()",NULL
"user_active_drive_items","id","integer","NO","nextval('user_active_drive_items_id_seq'::regclass)",NULL
"user_active_drive_items","user_id","integer","NO",NULL,NULL
"user_active_drive_items","drive_session_id","integer","NO",NULL,NULL
"user_active_drive_items","product_id_1","integer","NO",NULL,NULL
"user_active_drive_items","product_id_2","integer","YES",NULL,NULL
"user_active_drive_items","product_id_3","integer","YES",NULL,NULL
"user_active_drive_items","order_in_drive","integer","NO",NULL,NULL
"user_active_drive_items","user_status","character varying","NO","'PENDING'::character varying",10
"user_active_drive_items","task_type","character varying","YES","'order'::character varying",50
"user_active_drive_items","created_at","timestamp without time zone","YES","CURRENT_TIMESTAMP",NULL
"user_active_drive_items","updated_at","timestamp without time zone","YES","CURRENT_TIMESTAMP",NULL
"user_drive_configurations","id","integer","NO","nextval('user_drive_configurations_id_seq'::regclass)",NULL
"user_drive_configurations","user_id","integer","NO",NULL,NULL
"user_drive_configurations","drive_configuration_id","integer","NO",NULL,NULL
"user_drive_configurations","created_at","timestamp with time zone","YES","now()",NULL
"user_drive_configurations","updated_at","timestamp with time zone","YES","now()",NULL
"user_drive_progress","id","integer","NO","nextval('user_drive_progress_id_seq'::regclass)",NULL
"user_drive_progress","user_id","integer","NO",NULL,NULL
"user_drive_progress","date","date","NO",NULL,NULL
"user_drive_progress","drives_completed","integer","YES","0",NULL
"user_drive_progress","is_working_day","boolean","YES","false",NULL
"user_drive_progress","created_at","timestamp without time zone","YES","now()",NULL
"user_drive_progress","updated_at","timestamp without time zone","YES","now()",NULL
"user_working_days","id","integer","NO","nextval('user_working_days_id_seq'::regclass)",NULL
"user_working_days","user_id","integer","NO",NULL,NULL
"user_working_days","total_working_days","integer","YES","0",NULL
"user_working_days","weekly_progress","integer","YES","0",NULL
"user_working_days","last_reset_date","date","YES",NULL,NULL
"user_working_days","created_at","timestamp without time zone","YES","now()",NULL
"user_working_days","updated_at","timestamp without time zone","YES","now()",NULL
"users","id","integer","NO","nextval('users_id_seq'::regclass)",NULL
"users","username","character varying","NO",NULL,50
"users","email","character varying","NO",NULL,100
"users","password_hash","character varying","NO",NULL,100
"users","referral_code","character varying","NO",NULL,10
"users","upliner_id","integer","YES",NULL,NULL
"users","tier","character varying","YES","'bronze'::character varying",10
"users","revenue_source","character varying","YES",NULL,20
"users","created_at","timestamp without time zone","YES","now()",NULL
"users","role","character varying","YES","'user'::character varying",10
"users","withdrawal_password_hash","character varying","YES",NULL,100
"users","assigned_drive_configuration_id","integer","YES",NULL,NULL
"withdrawal_addresses","id","integer","NO","nextval('withdrawal_addresses_id_seq'::regclass)",NULL
"withdrawal_addresses","user_id","integer","NO",NULL,NULL
"withdrawal_addresses","address_type","character varying","NO","'TRC20'::character varying",10
"withdrawal_addresses","address","character varying","NO",NULL,100
"withdrawal_addresses","created_at","timestamp with time zone","YES","now()",NULL
"withdrawal_addresses","updated_at","timestamp with time zone","YES","now()",NULL
"withdrawals","id","integer","NO","nextval('withdrawals_id_seq'::regclass)",NULL
"withdrawals","user_id","integer","NO",NULL,NULL
"withdrawals","amount","numeric","NO",NULL,NULL
"withdrawals","status","character varying","NO","'PENDING'::character varying",20
"withdrawals","address","character varying","NO",NULL,100
"withdrawals","txn_hash","character varying","YES",NULL,100
"withdrawals","description","text","YES",NULL,NULL
"withdrawals","created_at","timestamp with time zone","YES","now()",NULL
"withdrawals","updated_at","timestamp with time zone","YES","now()",NULL
